Date,Price,Property Type,Location,Bedrooms,Bathrooms,Parking,Garden,Lease Length,Contact,Quarter
January 2024,"€ 7,200",Apartment,Dublin City South - Dublin 2,3,1 Bathroom,Yes,No,3 months,Estate Agent,Q1
January 2024,"€ 2,960 per month",Apartment,Dublin City South - Dublin 24,2 Bedrooms,2 Bathrooms,Yes,???,3 months,Estate Agent,Q1
January 2024,"€1,920.00 per month",Apartment,Dublin City South - Dublin 24,2 Bedrooms,2 Bathrooms,No,No,12 months,Estate Agent,Q1
January 2024,"€ 2,590",Apartment,Dublin City South - Dublin 6,2 Bedrooms,1 Bathroom,No,No,12 months,Estate Agent,Q1
January 2024,"€ 4,360 per month",House,Dublin City North - Dublin 1,3,2 Bathrooms,Yes,Yes,6 months,Estate Agent,Q1
January 2024,"€ 4,000 per month",House,North Co Dublin,3 Bedrooms,1 Bathroom,Yes,Yes,12 months,Owner,Q1
January 2024,"€4,530.00",House,Dublin City North - Dublin 17,3 Bedrooms,1 Bathroom,No,Yes,3 months,Owner,Q1
January 2024,"€ 1,440 per month",Apartment,Dublin City South - Dublin 8,1 Bedroom,1 Bathroom,No,No,12 months,Owner,Q1
January 2024,"€ 2,940",Apartment,Dublin City North - Dublin 1,2,2 Bathrooms,Yes,No,12 months,Estate Agent,Q1
January 2024,"€ 1,290",Apartment,Dublin City South - Dublin 2,1 Bedroom,2 Bathrooms,Yes,???,12 months,Owner,Q1
January 2024,"€ 4,440",House,Dublin City South - Dublin 16,4 Bedrooms,3 Bathrooms,Yes,Yes,12 months,Owner,Q1
January 2024,"€ 2,500 per month",Apartment,Dublin City South - Dublin 6,2 Bedrooms,2 Bathrooms,No,No,12 months,Estate Agent,Q1
January 2024,€ 990 per month,Apartment,Dublin City South - Dublin 6W,1,1 Bathroom,Yes,No,12 months,Owner,Q1
January 2024,"€ 4,090",Apartment,Dublin City North - Dublin 1,3 Bedrooms,2,N,No,12 months,Estate Agent,Q1
January 2024,"€ 1,190",Apartment,South Co Dublin,1 Bedroom,1 Bathroom,Yes,???,12 months,Owner,Q1
January 2024,"€ 1,500",Apartment,Dublin City South - Dublin 4,2 Bedrooms,2 Bathrooms,No,???,12 months,Estate Agent,Q1
January 2024,"€ 1,910",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,No,No,12 months,Estate Agent,Q1
January 2024,€ 930,Apartment,Dublin City North - Dublin 1,1 Bedroom,2 Bathrooms,No,No,6 months,Owner,Q1
January 2024,"€ 5,550",House,Dublin City North - Dublin 1,3 Bedrooms,2 Bathrooms,Yes,Yes,12 months,Owner,Q1
January 2024,"€ 1,230",Apartment,Dublin City North - Dublin 9,2 Bedrooms,1 Bathroom,No,No,12 months,Owner,Q1
January 2024,"€ 2,060",Apartment,Dublin City South - Dublin 2,2 Bedrooms,1 Bathroom,Yes,???,12 months,Estate Agent,Q1
January 2024,"€ 1,150",Apartment,Dublin City North - Dublin 3,2 Bedrooms,2,No,No,12 months,Estate Agent,Q1
January 2024,"€ 4,410",House,Dublin City North - Dublin 1,3 Bedrooms,2 Bathrooms,Y,Yes,3 months,Owner,Q1
January 2024,"€ 1,600",Apartment,Dublin City South - Dublin 24,1 Bedroom,1 Bathroom,No,No,6 months,Estate Agent,Q1
January 2024,"€ 1,390 per month",Apartment,Dublin City North - Dublin 11,1,2 Bathrooms,N,No,12 months,Estate Agent,Q1
January 2024,"€ 1,000",Apartment,Dublin City North - Dublin 13,2,2 Bathrooms,No,N,12 months,Estate Agent,Q1
January 2024,"€ 1,080",Apartment,Dublin City North - Dublin 15,1,1,???,No,12 months,Owner,Q1
January 2024,"€ 2,510",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,No,???,12.0,Estate Agent,Q1
January 2024,"€ 1,420",Apartment,Dublin City South - Dublin 18,1,1 Bathroom,???,No,12 months,Estate Agent,Q1
January 2024,"€ 3,500",House,Dublin City North - Dublin 13,3 Bedrooms,2,Yes,Yes,3 months,Estate Agent,Q1
January 2024,"€3,200.00",Apartment,Dublin City South - Dublin 2,2,1 Bathroom,N,No,12 months,Owner,Q1
January 2024,"€ 1,730",Apartment,South Co Dublin,1,1 Bathroom,No,No,12 months,Estate Agent,Q1
January 2024,"€ 1,340",Apartment,Dublin City North - Dublin 15,2 Bedrooms,2 Bathrooms,N,No,12 months,Estate Agent,Q1
January 2024,"€ 2,320",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,Yes,???,12 months,Owner,Q1
January 2024,"€ 2,060",Apartment,Dublin City South - Dublin 14,2 Bedrooms,1 Bathroom,No,No,12 months,Estate Agent,Q1
January 2024,"€ 3,760",House,Dublin City South - Dublin 24,3 Bedrooms,2 Bathrooms,No,Yes,12 months,Owner,Q1
January 2024,"€ 1,500 per month",Apartment,Dublin City North - Dublin 3,1 Bedroom,2 Bathrooms,No,No,3.0,Estate Agent,Q1
January 2024,"€2,400.00",House,Dublin City South - Dublin 6W,4 Bedrooms,3 Bathrooms,???,Y,6 months,Owner,Q1
January 2024,"€3,890.00",House,Dublin City South - Dublin 10,3 Bedrooms,1 Bathroom,Yes,Yes,12 months,Owner,Q1
January 2024,"€ 1,120",Apartment,Dublin City South - Dublin 14,2,2 Bathrooms,No,???,12 months,Estate Agent,Q1
January 2024,"€ 4,720",House,Dublin City North - Dublin 7,2,2 Bathrooms,???,Yes,12 months,Owner,Q1
January 2024,"€ 1,510",Apartment,Dublin City South - Dublin 18,1 Bedroom,1 Bathroom,No,No,12 months,Owner,Q1
January 2024,"€ 2,930",House,Dublin City South - Dublin 14,2 Bedrooms,1 Bathroom,Yes,Yes,6.0,Estate Agent,Q1
January 2024,"€ 1,790",Apartment,Dublin City South - Dublin 20,2 Bedrooms,1 Bathroom,???,No,12 months,Estate Agent,Q1
January 2024,"€ 3,040",House,Dublin City North - Dublin 15,4 Bedrooms,2,Yes,Yes,???,Owner,Q1
January 2024,"€ 1,060",Apartment,Dublin City North - Dublin 3,2 Bedrooms,1,No,No,12.0,Estate Agent,Q1
January 2024,"€ 1,140",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,No,No,6.0,Owner,Q1
January 2024,"€ 2,680",House,Dublin City North - Dublin 15,2,1 Bathroom,No,Yes,12 months,Estate Agent,Q1
January 2024,"€ 3,920",House,Dublin City North - Dublin 15,3 Bedrooms,1,???,Yes,12 months,Estate Agent,Q1
January 2024,"€ 1,510",Apartment,Dublin City South - Dublin 24,1,2 Bathrooms,No,No,12 months,Owner,Q1
January 2024,"€ 2,830",Apartment,Dublin City South - Dublin 4,2 Bedrooms,1 Bathroom,No,No,12.0,Owner,Q1
January 2024,"€ 1,140",Apartment,Dublin City South - Dublin 2,1,1 Bathroom,No,No,12 months,Estate Agent,Q1
January 2024,"€ 4,090",House,Dublin City North - Dublin 1,3,2 Bathrooms,No,Yes,6 months,Estate Agent,Q1
January 2024,"€ 2,700 per month",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,No,No,12.0,Estate Agent,Q1
January 2024,"€ 1,430",Apartment,Dublin City South - Dublin 6,1 Bedroom,1 Bathroom,No,No,12 months,Estate Agent,Q1
January 2024,"€ 3,550 per month",Apartment,Dublin City North - Dublin 1,3 Bedrooms,1 Bathroom,N,No,12 months,Estate Agent,Q1
January 2024,"€ 4,550 per month",House,Dublin City South - Dublin 22,4 Bedrooms,3 Bathrooms,No,Yes,12 months,Estate Agent,Q1
January 2024,"€ 1,860",Apartment,Dublin City South - Dublin 2,1 Bedroom,1 Bathroom,No,No,12 months,Estate Agent,Q1
January 2024,"€ 1,220",Apartment,Dublin City South - Dublin 4,1,1 Bathroom,No,N,12.0,Estate Agent,Q1
January 2024,"€ 1,160 per month",Apartment,Dublin City North - Dublin 13,1 Bedroom,1,N,No,3 months,Estate Agent,Q1
January 2024,"€ 1,530",Apartment,Dublin City South - Dublin 18,2,2 Bathrooms,N,No,12 months,Estate Agent,Q1
January 2024,"€ 1,130",Apartment,North Co Dublin,1,1 Bathroom,No,No,12 months,Owner,Q1
January 2024,"€ 3,430",House,Dublin City South - Dublin 12,2 Bedrooms,2 Bathrooms,No,???,12 months,Estate Agent,Q1
January 2024,"€ 1,980",Apartment,Dublin City South - Dublin 2,2 Bedrooms,1,No,No,12.0,Estate Agent,Q1
January 2024,"€ 3,450",House,Dublin City North - Dublin 7,4 Bedrooms,2 Bathrooms,Yes,Yes,12 months,Owner,Q1
January 2024,"€ 1,900",Apartment,Dublin City South - Dublin 2,1,2 Bathrooms,No,N,12 months,Estate Agent,Q1
January 2024,€ 780 per month,Apartment,Dublin City South - Dublin 10,1 Bedroom,2,No,???,6 months,Estate Agent,Q1
January 2024,"€ 3,190",Apartment,Dublin City South - Dublin 2,2,1 Bathroom,Yes,N,12 months,Estate Agent,Q1
January 2024,"€ 2,030",Apartment,Dublin City South - Dublin 8,2,1 Bathroom,No,N,12.0,Estate Agent,Q1
January 2024,"€ 1,000",Apartment,Dublin City North - Dublin 1,1,1 Bathroom,No,No,6 months,Estate Agent,Q1
January 2024,"€ 1,590",Apartment,Dublin City South - Dublin 24,1,1 Bathroom,No,No,12 months,Owner,Q1
January 2024,"€1,250.00",Apartment,Dublin City North - Dublin 11,1 Bedroom,1 Bathroom,No,No,6 months,Estate Agent,Q1
January 2024,"€ 2,860",House,Dublin City North - Dublin 5,4 Bedrooms,2 Bathrooms,Yes,???,12 months,Owner,Q1
January 2024,"€ 2,320",Apartment,Dublin City South - Dublin 2,1,2 Bathrooms,No,No,6 months,Estate Agent,Q1
January 2024,"€ 4,490",House,Dublin City North - Dublin 13,3,2 Bathrooms,Yes,Yes,6 months,Estate Agent,Q1
January 2024,"€ 2,060",Apartment,Dublin City South - Dublin 4,1 Bedroom,1 Bathroom,Yes,No,12 months,Estate Agent,Q1
January 2024,"€ 3,700",House,Dublin City North - Dublin 7,4,2 Bathrooms,Yes,Yes,3 months,Estate Agent,Q1
January 2024,"€ 5,580",House,Dublin City South - Dublin 4,1 Bedroom,2 Bathrooms,Yes,No,3 months,Estate Agent,Q1
January 2024,"€ 2,920",Apartment,Dublin City North - Dublin 1,2,1,N,No,6 months,Estate Agent,Q1
January 2024,"€ 2,570 per month",Apartment,Dublin City South - Dublin 2,2 Bedrooms,1 Bathroom,No,N,12 months,Owner,Q1
January 2024,"€ 3,320",Apartment,Dublin City South - Dublin 6,2 Bedrooms,1 Bathroom,No,No,3 months,Estate Agent,Q1
January 2024,"€ 3,050",Apartment,Dublin City North - Dublin 5,2 Bedrooms,1 Bathroom,No,No,3 months,Estate Agent,Q1
January 2024,"€4,320.00",House,Dublin City North - Dublin 9,3 Bedrooms,2 Bathrooms,No,Yes,12.0,Owner,Q1
January 2024,"€1,800.00",Apartment,Dublin City North - Dublin 1,1 Bedroom,1 Bathroom,Yes,No,12 months,Owner,Q1
January 2024,"€ 1,180",Apartment,Dublin City South - Dublin 2,2,1 Bathroom,N,No,12 months,Estate Agent,Q1
January 2024,"€ 2,300",Apartment,Dublin City South - Dublin 12,2 Bedrooms,2,No,No,6 months,Estate Agent,Q1
January 2024,"€ 1,070",Apartment,Dublin City North - Dublin 11,1 Bedroom,2 Bathrooms,No,No,12 months,Estate Agent,Q1
January 2024,"€ 1,510",Apartment,Dublin City South - Dublin 2,2 Bedrooms,2,???,No,12 months,Estate Agent,Q1
January 2024,€ 930,Apartment,Dublin City South - Dublin 12,2 Bedrooms,1 Bathroom,Yes,No,12 months,Owner,Q1
January 2024,"€ 1,980",Apartment,Dublin City North - Dublin 1,1 Bedroom,1 Bathroom,No,No,12 months,Owner,Q1
January 2024,"€ 1,120",Apartment,Dublin City South - Dublin 2,1,1 Bathroom,No,No,12 months,Owner,Q1
January 2024,"€ 3,680 per month",House,Dublin City North - Dublin 17,3,1,No,Yes,12 months,Owner,Q1
January 2024,"€ 1,390 per month",Apartment,Dublin City South - Dublin 2,1,2,No,No,12 months,Estate Agent,Q1
January 2024,"€ 1,510",Apartment,Dublin City South - Dublin 18,1,2 Bathrooms,No,???,6 months,Estate Agent,Q1
January 2024,"€ 4,910 per month",Apartment,Dublin City South - Dublin 2,3 Bedrooms,2 Bathrooms,No,No,12 months,Owner,Q1
January 2024,"€ 5,470",Apartment,Dublin City South - Dublin 2,3 Bedrooms,2 Bathrooms,No,No,12 months,Estate Agent,Q1
January 2024,"€ 1,450",Apartment,South Co Dublin,1 Bedroom,2 Bathrooms,Yes,No,12 months,Owner,Q1
January 2024,"€ 1,470",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1,No,No,6 months,Estate Agent,Q1
January 2024,"€ 4,190",Apartment,Dublin City South - Dublin 6,3 Bedrooms,2 Bathrooms,Yes,No,12 months,Estate Agent,Q1
January 2024,"€ 1,750",Apartment,Dublin City South - Dublin 2,1 Bedroom,2 Bathrooms,No,No,12 months,Estate Agent,Q1
January 2024,"€ 1,620",Apartment,Dublin City South - Dublin 2,1,2 Bathrooms,No,No,12 months,Estate Agent,Q1
January 2024,"€ 2,460",Apartment,Dublin City South - Dublin 12,2,2 Bathrooms,Yes,No,6 months,Estate Agent,Q1
January 2024,"€ 2,900 per month",Apartment,Dublin City South - Dublin 2,2 Bedrooms,2 Bathrooms,Yes,No,12 months,Owner,Q1
January 2024,"€ 2,320",Apartment,Dublin City South - Dublin 2,1 Bedroom,2 Bathrooms,Yes,No,6 months,Owner,Q1
January 2024,"€ 5,220",House,Dublin City South - Dublin 2,4 Bedrooms,1 Bathroom,Yes,Yes,3 months,Estate Agent,Q1
January 2024,"€ 1,240",Apartment,Dublin City South - Dublin 2,1 Bedroom,1 Bathroom,N,No,12 months,Owner,Q1
January 2024,"€ 1,010 per month",Apartment,Dublin City South - Dublin 6,2,1 Bathroom,No,No,12.0,Estate Agent,Q1
January 2024,"€ 6,030",Apartment,Dublin City South - Dublin 2,3 Bedrooms,1 Bathroom,???,No,12.0,Owner,Q1
January 2024,"€ 1,830",Apartment,Dublin City South - Dublin 20,3,2 Bathrooms,No,No,3.0,Estate Agent,Q1
January 2024,"€ 5,340 per month",House,North Co Dublin,4 Bedrooms,2 Bathrooms,Yes,Yes,3 months,Owner,Q1
January 2024,"€ 3,820",Apartment,Dublin City South - Dublin 2,2,2 Bathrooms,No,No,3.0,Owner,Q1
January 2024,"€ 2,600 per month",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,N,No,12 months,Owner,Q1
January 2024,"€ 1,880",House,Dublin City North - Dublin 17,3,2 Bathrooms,No,Yes,6.0,Owner,Q1
January 2024,"€ 1,800",Apartment,South Co Dublin,1 Bedroom,2 Bathrooms,No,No,12 months,Estate Agent,Q1
January 2024,"€ 2,990",Apartment,Dublin City South - Dublin 4,2 Bedrooms,1 Bathroom,N,No,12 months,Estate Agent,Q1
January 2024,"€1,130.00 per month",Apartment,Dublin City South - Dublin 8,2,1 Bathroom,No,No,12 months,Estate Agent,Q1
January 2024,"€ 2,280",Apartment,Dublin City South - Dublin 2,2 Bedrooms,1 Bathroom,No,No,6 months,Owner,Q1
January 2024,"€ 2,240 per month",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,N,No,12 months,Estate Agent,Q1
January 2024,"€ 2,260 per month",Apartment,Dublin City North - Dublin 1,1,2,Y,No,3.0,Estate Agent,Q1
January 2024,"€ 5,450",House,Dublin City North - Dublin 5,5 Bedrooms,4 Bathrooms,Yes,Yes,6.0,Estate Agent,Q1
January 2024,€ 800,Apartment,Dublin City South - Dublin 24,1,1 Bathroom,No,No,12 months,Estate Agent,Q1
January 2024,€ 890,Apartment,Dublin City South - Dublin 12,2 Bedrooms,2,No,No,12 months,Estate Agent,Q1
January 2024,"€ 4,460",House,Dublin City South - Dublin 8,3 Bedrooms,2 Bathrooms,N,Yes,3 months,Estate Agent,Q1
January 2024,"€ 1,530",Apartment,Dublin City North - Dublin 9,1 Bedroom,1 Bathroom,Yes,No,12 months,Estate Agent,Q1
January 2024,"€ 2,520",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,No,No,12 months,Owner,Q1
January 2024,"€ 2,620",House,Dublin City South - Dublin 8,3 Bedrooms,2 Bathrooms,Y,???,12 months,Owner,Q1
January 2024,"€ 1,850",Apartment,Dublin City South - Dublin 2,1 Bedroom,1,No,No,12 months,Owner,Q1
January 2024,"€ 1,970",Apartment,Dublin City North - Dublin 1,1 Bedroom,1 Bathroom,No,No,12 months,Estate Agent,Q1
January 2024,€ 940,Apartment,Dublin City North - Dublin 1,1 Bedroom,2 Bathrooms,No,???,12 months,Estate Agent,Q1
January 2024,"€ 3,720",House,Dublin City North - Dublin 15,4 Bedrooms,4 Bathrooms,Yes,Yes,3 months,Owner,Q1
January 2024,"€1,730.00",Apartment,Dublin City North - Dublin 1,1,1 Bathroom,No,No,12 months,Owner,Q1
January 2024,"€ 1,980",Apartment,Dublin City South - Dublin 2,1 Bedroom,2 Bathrooms,No,No,12 months,Owner,Q1
January 2024,"€ 2,760",Apartment,Dublin City South - Dublin 2,2 Bedrooms,1 Bathroom,No,N,12 months,Estate Agent,Q1
January 2024,"€ 3,350",Apartment,Dublin City North - Dublin 17,3,1 Bathroom,No,No,12 months,Estate Agent,Q1
January 2024,"€1,230.00",Apartment,Dublin City South - Dublin 2,1,1 Bathroom,No,No,12 months,Owner,Q1
January 2024,"€ 4,000",House,Dublin City North - Dublin 15,4 Bedrooms,1 Bathroom,No,Yes,6 months,Estate Agent,Q1
January 2024,"€2,960.00 per month",House,Dublin City South - Dublin 24,3 Bedrooms,2 Bathrooms,Yes,Yes,12 months,Owner,Q1
January 2024,"€ 1,160",Apartment,Dublin City North - Dublin 9,1,2,No,No,3 months,Estate Agent,Q1
January 2024,"€ 2,990 per month",Apartment,Dublin City North - Dublin 9,2 Bedrooms,2 Bathrooms,No,No,3 months,Owner,Q1
January 2024,"€1,220.00 per month",Apartment,Dublin City South - Dublin 20,2 Bedrooms,1 Bathroom,No,No,6 months,Estate Agent,Q1
January 2024,"€ 4,490",House,Dublin City North - Dublin 3,3,2 Bathrooms,Yes,Yes,6 months,Owner,Q1
January 2024,"€ 2,590 per month",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1,No,No,12 months,Owner,Q1
January 2024,"€ 4,530",Apartment,Dublin City South - Dublin 4,3 Bedrooms,1 Bathroom,No,???,12 months,Owner,Q1
January 2024,€ 670,Apartment,Dublin City South - Dublin 22,1,2 Bathrooms,Yes,No,12 months,Estate Agent,Q1
January 2024,"€ 1,180 per month",Apartment,Dublin City North - Dublin 3,1 Bedroom,2 Bathrooms,No,N,12 months,Estate Agent,Q1
January 2024,"€ 1,210",Apartment,Dublin City South - Dublin 10,1,1,Yes,???,6 months,Estate Agent,Q1
January 2024,"€ 6,320",House,Dublin City North - Dublin 1,3,2 Bathrooms,Yes,???,3 months,Estate Agent,Q1
January 2024,"€ 1,860",Apartment,Dublin City South - Dublin 2,2 Bedrooms,1 Bathroom,No,No,6 months,Estate Agent,Q1
January 2024,"€ 2,910",House,Dublin City South - Dublin 10,3 Bedrooms,1,Yes,Yes,12 months,Owner,Q1
January 2024,"€ 1,400",Apartment,Dublin City South - Dublin 8,1 Bedroom,1,???,No,12 months,Estate Agent,Q1
January 2024,"€ 1,210",Apartment,Dublin City North - Dublin 1,1 Bedroom,2 Bathrooms,Yes,No,6 months,Estate Agent,Q1
January 2024,"€ 1,520",Apartment,Dublin City South - Dublin 6,1 Bedroom,1,Yes,No,12 months,Estate Agent,Q1
January 2024,"€ 3,750",House,Dublin City South - Dublin 16,3,2 Bathrooms,???,Yes,12 months,Owner,Q1
January 2024,"€1,270.00 per month",Apartment,Dublin City North - Dublin 1,1 Bedroom,1 Bathroom,???,No,12 months,Owner,Q1
January 2024,"€ 5,890",House,Dublin City North - Dublin 5,3 Bedrooms,2 Bathrooms,No,Yes,3 months,Owner,Q1
January 2024,"€ 5,220 per month",Apartment,Dublin City North - Dublin 9,3 Bedrooms,2 Bathrooms,???,No,3 months,Estate Agent,Q1
January 2024,"€ 5,010",House,Dublin City South - Dublin 8,3 Bedrooms,2,Y,Yes,12 months,Estate Agent,Q1
January 2024,"€ 1,540",Apartment,Dublin City South - Dublin 24,2 Bedrooms,1 Bathroom,Yes,No,12 months,Estate Agent,Q1
January 2024,"€ 2,590 per month",Apartment,Dublin City South - Dublin 2,2 Bedrooms,2 Bathrooms,No,No,???,Estate Agent,Q1
January 2024,"€ 2,100",Apartment,Dublin City South - Dublin 2,1 Bedroom,1 Bathroom,No,No,12 months,Estate Agent,Q1
January 2024,"€ 2,110",House,Dublin City North - Dublin 11,2 Bedrooms,1,No,Yes,12 months,Estate Agent,Q1
January 2024,"€ 2,680",Apartment,Dublin City South - Dublin 18,3,1 Bathroom,Y,No,6.0,Estate Agent,Q1
January 2024,€ 940,Apartment,Dublin City North - Dublin 1,1 Bedroom,1 Bathroom,No,No,12 months,Estate Agent,Q1
January 2024,"€4,450.00",House,Dublin City South - Dublin 10,2 Bedrooms,2 Bathrooms,No,???,12 months,Owner,Q1
January 2024,"€ 5,190",House,Dublin City South - Dublin 6,4 Bedrooms,2 Bathrooms,N,Yes,12 months,Owner,Q1
January 2024,"€ 2,110",Apartment,Dublin City North - Dublin 1,2 Bedrooms,2 Bathrooms,No,No,12 months,Owner,Q1
January 2024,"€ 3,320",House,Dublin City North - Dublin 7,4 Bedrooms,3 Bathrooms,Y,Y,3 months,Estate Agent,Q1
January 2024,"€ 2,010",Apartment,South Co Dublin,2 Bedrooms,1 Bathroom,No,N,12 months,Owner,Q1
January 2024,"€ 2,270",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,No,No,12.0,Estate Agent,Q1
February 2024,"€ 2,390 per month",House,Dublin City South - Dublin 6W,3 Bedrooms,2 Bathrooms,Y,Yes,12 months,Estate Agent,Q1
February 2024,"€ 1,000",Apartment,Dublin City South - Dublin 2,1 Bedroom,1,No,No,12 months,Estate Agent,Q1
February 2024,"€ 3,620 per month",House,Dublin City South - Dublin 2,4 Bedrooms,3,No,Yes,12 months,Owner,Q1
February 2024,"€ 1,200",Apartment,South Co Dublin,1 Bedroom,1 Bathroom,No,No,6 months,Estate Agent,Q1
February 2024,"€2,140.00",House,Dublin City South - Dublin 20,3,2 Bathrooms,Yes,No,12 months,Owner,Q1
February 2024,"€ 1,130",Apartment,Dublin City South - Dublin 22,1 Bedroom,1,Yes,No,12 months,Estate Agent,Q1
February 2024,"€ 2,520",Apartment,Dublin City North - Dublin 9,2,2 Bathrooms,No,No,12 months,Estate Agent,Q1
February 2024,"€ 1,070",Apartment,Dublin City South - Dublin 2,1 Bedroom,2 Bathrooms,No,No,12 months,Owner,Q1
February 2024,"€ 1,370",Apartment,Dublin City South - Dublin 2,2,1 Bathroom,No,???,6 months,Estate Agent,Q1
February 2024,"€ 1,880 per month",Apartment,Dublin City South - Dublin 4,1,1 Bathroom,No,???,12 months,Estate Agent,Q1
February 2024,"€ 1,410",Apartment,Dublin City South - Dublin 2,2 Bedrooms,2 Bathrooms,Yes,No,12 months,Owner,Q1
February 2024,€ 920,Apartment,Dublin City North - Dublin 17,2 Bedrooms,2 Bathrooms,No,No,12 months,Estate Agent,Q1
